model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
binary,alpha,beta,0.5,0.25,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.4172873464215806e-05,8.012930199992964e-08,3.961875535915118,3.9619317434637518,3.9619320975143815,0.6448115329657659,0.6448134235557783,0.6448133722384168,1.1396693079035458e-05,1.2526471948604015e-07
binary,alpha,beta,0.5,0.5,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.110768452607706e-05,6.775500101012939e-08,2.8847536534968796,2.884745645705819,2.8847436497566603,0.8086158523099308,0.8086061591678515,0.8086062582588006,1.6799035417847108e-05,1.525745965125225e-07
binary,alpha,beta,0.5,1.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.3066514385281514e-05,8.84538954494266e-08,3.4720998108344627,3.4720503536945566,3.472049538604996,0.7295972174716273,0.7296007292061105,0.7296008387027921,1.3276235709014372e-05,1.7415641906382007e-07
binary,alpha,beta,0.5,3.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.359135551600182e-05,1.9286995581082404e-08,1.5747377278987653,1.5747506635186648,1.574750661581242,1.3620398885223368,1.3620254670209357,1.3620254644026137,1.312449368384705e-05,2.213788086180557e-08
binary,alpha,beta,0.5,8.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.2953157629282747e-05,1.6888362150831116e-08,0.7555659973875184,0.7555576245917226,0.7555576031533768,1.8135322580211157,1.813505576147766,1.8135055825504827,1.7938457804511643e-05,2.0318444704514604e-08
binary,alpha,beta,0.75,0.25,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.0511137160715757e-05,7.961132605319465e-08,3.596399763270129,3.5963476526884053,3.5963472522351063,0.693291008916697,0.6932845004047998,0.6932845540975925,1.0300767522508636e-05,1.2703006646574977e-07
binary,alpha,beta,0.75,0.5,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1979438200696183e-05,7.071511577233262e-08,3.872763550870757,3.872722759021239,3.87272165449063,0.6245775967922274,0.6245782333169572,0.6245783493339645,1.4131477742651555e-05,1.0141236472804849e-07
binary,alpha,beta,0.75,1.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,7.959018285162192e-06,5.2270186217546626e-08,3.6872712690688414,3.687453146152907,3.687452059681248,0.7867197411836079,0.7867095106768183,0.786709628265553,1.2529563237606567e-05,9.507807519071321e-08
binary,alpha,beta,0.75,3.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,6.891373337822831e-06,1.7231124007633078e-08,1.8082254231893407,1.8082669147761203,1.8082668444961914,1.4026447314886972,1.4026382725542381,1.402638292860253,2.1742691698634076e-05,4.3806208438468275e-08
binary,alpha,beta,0.75,8.0,50,0.1,1.0,20,1.0,1.0,1.0,0.0,0.0,0.0,6.594522504583964e-06,1.7155843260453914e-08,0.7771436852107446,0.7771651878106447,0.7771651706865383,1.7599686615346457,1.759949035633817,1.7599490496823385,1.595002394516598e-05,2.1359469748460927e-08
