model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
categorical,alpha,beta,0.05,0.25,50,0.1,0.01,20,0.55,0.55,0.55,0.0,0.0,0.45,4.8392365663384724e-05,1.6107576790865174e-07,0.0642699568214678,0.0643512109848519,0.06435067673350145,0.6853509079578203,0.6853069437340447,0.6853072302169705,3.9388748326985024e-05,3.409083930705492e-07
categorical,alpha,beta,0.05,0.5,50,0.1,0.01,20,0.55,0.55,0.55,0.0,0.0,0.45,5.522851422739205e-05,1.9944779273125973e-07,0.00332887625101645,0.0036414064606985997,0.00363886764051115,0.6824933923839117,0.682456329214084,0.6824559494547399,3.603642617378e-05,3.10733575759059e-07
categorical,alpha,beta,0.05,1.0,50,0.1,0.01,20,0.65,0.65,0.65,0.0,0.0,0.35,5.68174665328594e-05,2.562033517020751e-07,0.0076020045077615,0.00786681799167135,0.00786551087326835,1.3306642976338905,1.3304454340140786,1.3304448634062227,7.00391191799099e-05,7.535456916230032e-07
categorical,alpha,beta,0.05,3.0,50,0.1,0.01,20,0.95,0.95,0.95,0.0,0.0,0.05,0.00011027462022888704,3.240245009908072e-07,0.7071332494771023,0.7072574549245456,0.7072566448224309,2.252382708158461,2.2524162848898426,2.252416255487706,0.0001264056648722,2.3901171886109296e-07
categorical,alpha,beta,0.05,8.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0002574944117467,1.2486435977670017e-06,0.20902331278579356,0.2090325325834832,0.20903244112951114,3.629954459327596,3.629877329590574,3.6298768175890608,0.00030205987844395,7.539632811415231e-07
categorical,alpha,beta,0.25,0.25,50,0.1,0.01,20,0.6,0.6,0.6,0.0,0.0,0.4,3.534060962933321e-05,1.9944278433658393e-07,0.3714595796531407,0.37172952559090366,0.3717274107443564,0.9442016070356574,0.9442118092539389,0.9442120534537102,7.132709421142636e-05,3.627241760284506e-07
categorical,alpha,beta,0.25,0.5,50,0.1,0.01,20,0.75,0.75,0.75,0.0,0.0,0.25,6.067411547004664e-05,2.0120881071899768e-07,0.8455661385791411,0.8456478263046767,0.8456477988022133,0.7664778876624851,0.7664924245861487,0.7664927490440261,5.410786833692782e-05,2.528841989146713e-07
categorical,alpha,beta,0.25,1.0,50,0.1,0.01,20,0.95,0.95,0.95,0.0,0.0,0.05,4.193083015851891e-05,1.8410896884631079e-07,1.3707148097393917,1.370836592433844,1.3708357037549548,0.9702522404295394,0.9700454408811569,0.9700446207801896,8.807800853105618e-05,3.257059972838761e-07
categorical,alpha,beta,0.25,3.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,4.700265170052257e-05,4.01042406037022e-08,1.3633962665033024,1.3633933312366424,1.3633933783995698,1.8974979844673965,1.8975586503996513,1.897558668142046,3.8346604991801314e-05,8.641768900474744e-08
categorical,alpha,beta,0.25,8.0,50,0.1,0.01,20,1.0,1.0,1.0,0.0,0.0,0.0,4.950317903217968e-05,5.62991197928995e-08,0.29945445291236594,0.299485155771243,0.29948514124069264,2.429877702591292,2.4298839678483257,2.429883971189697,5.1410849879474085e-05,5.229930299943675e-08
