model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
binary,alpha,beta,0.5,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.9371187529545144e-05,3.280721775260517e-08,0.1419177193881801,0.1419124169662146,0.14191241447792952,2.378380075771224,2.378341146733007,2.3783411390388545,2.753835423985329e-05,3.094212752685621e-08
binary,alpha,beta,0.75,0.25,50,0.1,0.1,20,0.65,0.65,0.65,0.0,0.0,0.35,3.5436516969787106e-05,2.6627758812691053e-07,0.329127588729766,0.3292368804842068,0.32923666642142324,0.6987838212054155,0.698664136970168,0.6986641883898594,4.35656367443471e-05,6.229098019616686e-07
binary,alpha,beta,0.75,0.5,50,0.1,0.1,20,0.95,0.95,0.95,0.0,0.0,0.05,2.447846737616182e-05,1.7903393524622717e-07,2.1453763602460674,2.1454599583196887,2.1454594076753506,0.663616881204345,0.6636229185253966,0.6636229529760515,1.950604234224329e-05,2.900217950241313e-07
binary,alpha,beta,0.75,1.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.3029190141713077e-05,1.0952926586658748e-07,3.3336181266722114,3.3337097420568864,3.333708691417974,0.514305466767923,0.5143120357691889,0.5143120237646341,1.8664919235078514e-05,1.5134351549761504e-07
binary,alpha,beta,0.75,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,8.117930063757948e-06,1.8554838098188848e-08,1.4068260698933863,1.4068405122127974,1.4068405129244586,1.3460431242960995,1.3460223472915365,1.3460223677341125,1.7240158717513054e-05,3.11479215753252e-08
binary,alpha,beta,0.75,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.6977656986863285e-05,3.231184235762263e-08,0.13061276983662223,0.13062864810513564,0.130628647368232,2.5490789989163942,2.5488922911090945,2.548892283066121,6.629673843516759e-05,4.064772163303587e-08
binary,alpha,beta,0.95,0.25,50,0.1,0.1,20,0.9,0.9,0.9,0.0,0.0,0.1,3.708036719579279e-05,2.4768967493100245e-07,1.8304484090079156,1.8304546350316608,1.8304538139590472,0.493332479487973,0.49336294526457963,0.4933627319819579,2.873997142316398e-05,4.2168337088810404e-07
binary,alpha,beta,0.95,0.5,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.5046316122093418e-05,1.0367221595419044e-07,2.9344332831555864,2.934528897775455,2.9345283453523434,0.5025685042470841,0.5025614814025383,0.5025616375385203,1.482840748678882e-05,8.247443616937745e-08
binary,alpha,beta,0.95,1.0,50,0.1,0.1,20,0.8,0.8,0.8,0.0,0.0,0.2,2.2495411315442413e-05,1.0323136708489289e-07,3.2953810465370106,3.29538464896255,3.2953844789249116,0.4953482075951686,0.49534093888636344,0.4953409678611933,6.259426760024667e-06,1.0963628227500521e-07
binary,alpha,beta,0.95,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.9615846347986334e-05,3.3269107131441245e-08,1.4644818467419958,1.4644746294883422,1.4644746346981683,1.3717113473411495,1.371690010014893,1.3716900176997884,1.864727973632796e-05,3.107280655001432e-08
binary,alpha,beta,0.95,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.9991512406356818e-05,6.476935498219415e-09,0.1232728872742664,0.12328396264091479,0.12328395898753386,2.846469934443987,2.846524119121699,2.8465241577498004,4.803402682007629e-05,4.9168516369491044e-08
