model,seed,n_trials,optimization_method,objective_map,gradient_norm_map_fd,optimization_seconds,n_polish_steps,ad_polish_objective,ad_polish_seconds,ad_polish_gradient_norm,ad_polish_n_steps,gn_minus_ad_polish_objective,theta_true,theta_map,numpy_jax_objective_abs_error_map,numpy_jax_objective_abs_error_probe,ad_gradient_norm_probe,grad_h001_rel_error,grad_h0001_rel_error,grad_h00001_rel_error,grad_h000001_rel_error,grad_h0000001_rel_error,gn_ad_rel_fro_error,fd_ad_rel_fro_error,gn_logdet,fd_logdet,ad_logdet,gn_min_eig,fd_min_eig,ad_min_eig,fd_h001_rel_error,fd_h0001_rel_error,fd_h00001_rel_error,fd_h000001_rel_error,fd_h001_seconds,fd_h0001_seconds,fd_h00001_seconds,fd_h000001_seconds,ad_hessian_seconds,laplace_logevidence_gn,laplace_logevidence_fd,laplace_logevidence_ad,laplace_gn_minus_ad,laplace_fd_minus_ad
categorical,126,250,lbfgsb+gn,221.40089470736717,8.850548367446891e-07,0.3686455829993065,1,221.40089470736717,1.3187614160015073,1.4210854715202004e-08,1,0.0,[0.35 3.  ],[0.364336 2.880819],2.842170943040401e-14,5.684341886080802e-14,12.134020223202347,2.9169966841569086e-06,2.9167589477949238e-08,4.545280924636289e-10,4.0505466422399163e-10,5.70560085899359e-09,0.08814881243144483,2.0963579130469616e-08,7.837040986945576,8.028826489226827,8.02882640982923,7.372030153668856,8.152566390221795,8.15256591055132,8.35503950245461e-07,2.0963579130469616e-08,1.1423947824795174e-06,0.00013669880445306868,0.01575766599853523,0.01521833300284925,0.015845833000639686,0.015107917002751492,0.45511537499987753,-223.48153813443062,-223.57743088557126,-223.57743084587244,0.09589271144182021,-3.969881845478085e-08
categorical,127,250,lbfgsb+gn,207.20885305917494,6.146353211786503e-07,0.3171143750005285,1,207.20885305917497,1.1723672080006509,0.0,1,-2.842170943040401e-14,[0.35 3.  ],[0.535305 2.628061],0.0,0.0,21.124742378539324,4.0756057190570516e-07,4.084049854672415e-09,3.4269802191268815e-11,4.112127691242797e-10,8.129555186722383e-09,0.27404543874580295,6.213348733414957e-08,7.797055677043243,7.547309539911296,7.547309404307597,11.128604209500766,11.039028822498441,11.039028001762972,9.004158559459021e-07,6.213348733414957e-08,5.573988642967188e-06,0.0004940286309379251,0.015437499998370185,0.01599187499959953,0.015803000002051704,0.015344833002018277,0.4547076670023671,-209.26950383128724,-209.14463076272125,-209.1446306949194,-0.1248731363678246,-6.780183525734174e-08
categorical,128,250,lbfgsb+gn,225.72608886580022,7.105427357601002e-08,0.35338724999746773,1,225.72608886580022,1.129131583002163,5.569721943131168e-09,1,0.0,[0.35 3.  ],[0.447741 2.551448],2.842170943040401e-14,2.842170943040401e-14,16.387218622795483,9.186836271103634e-07,9.183816690273076e-09,2.1629246245004457e-10,4.077339314952031e-10,1.0063591877443622e-08,0.06242251955923939,1.756977460144614e-08,7.6840817332529205,7.587356122517399,7.5873560819114925,9.241375732804368,8.877488140787431,8.877487933823753,1.2747615851951203e-07,1.756977460144614e-08,2.754614751234031e-07,0.00010646751235077501,0.01533291600208031,0.015560959000140429,0.01563187500141794,0.015259709001838928,0.45461279200026183,-227.73025266601735,-227.6818898606496,-227.68188984034663,-0.04836282567072203,-2.030296286648081e-08
categorical,129,250,lbfgsb+gn,235.59447980196325,8.156682255404756e-07,0.3428843340007006,1,235.59447980196327,1.2237175000009302,1.517547651698786e-08,1,-2.842170943040401e-14,[0.35 3.  ],[0.29424  2.669125],5.684341886080802e-14,2.842170943040401e-14,10.37397715724618,2.903474516764558e-06,2.9022020068216304e-08,2.890879773168111e-10,1.314054742054899e-09,1.315226850651736e-08,0.15852181013056196,4.3291598665680274e-08,7.468424062646387,7.799213123173014,7.799212899027392,5.698526305724433,6.675674958403905,6.675673744739934,1.9027912377926914e-06,4.3291598665680274e-08,3.105980532340595e-06,0.00012927110964029581,0.015783666000061203,0.015643334001651965,0.01548229100080789,0.015470582999114413,0.4480936660002044,-237.4908147668771,-237.6562092971404,-237.6562091850676,0.16539441819051603,-1.1207279726477282e-07
categorical,130,250,lbfgsb+gn,202.4267587159183,5.263828979438435e-07,0.33969962500123074,1,202.42675871591834,1.3171839999995427,1.9617030615103575e-06,0,-2.842170943040401e-14,[0.35 3.  ],[0.383155 2.873122],5.684341886080802e-14,0.0,16.615120544365766,9.74011598931234e-07,9.736445707655797e-09,1.4261687186376004e-10,4.091641392215471e-10,3.900063787483143e-09,0.0993861754447838,1.4877700916968186e-08,7.987909336665318,8.17834914079349,8.178349076685755,9.797273987773162,10.677622158809898,10.677621625388038,1.197333989310562e-06,1.4877700916968186e-08,5.598543422477594e-07,8.595538105347801e-05,0.015538250001554843,0.015253875000780681,0.015384000002086395,0.015623375002178364,0.4560097499997937,-204.58283631784164,-204.67805621990573,-204.67805618785187,0.0952198700102258,-3.205386178706249e-08
categorical,131,250,lbfgsb+gn,202.74809396720994,1.2124182383535055e-07,0.34394279200205347,1,202.74809396720997,1.2406096250015253,1.1920075103608762e-06,0,-2.842170943040401e-14,[0.35 3.  ],[0.400198 3.485481],2.842170943040401e-14,0.0,9.343570736756995,7.819548416826112e-07,7.80866690532646e-09,1.1464365524865076e-10,1.5748562281511267e-09,3.1286052640622707e-09,0.4422688238165402,6.187561043816225e-08,7.771558987083315,7.408311910967115,7.408311732629677,5.620926732653979,5.632152916606148,5.6321522575950596,2.8097855523677418e-06,6.187561043816225e-08,4.644821677699844e-07,4.801499231622796e-05,0.015726416997495107,0.015448083002411295,0.015424040997459088,0.0157508330012206,0.4600810840020131,-204.79599639434227,-204.61437285628418,-204.61437276711544,-0.181623627226827,-8.916873639464029e-08
categorical,132,250,lbfgsb+gn,203.881448206745,7.675931712457195e-07,0.33296429199981503,1,203.881448206745,1.2819825419974222,4.939215395595144e-07,0,0.0,[0.35 3.  ],[0.289351 3.188793],0.0,0.0,16.519964230949082,5.061027220375316e-06,5.061108095678455e-08,3.898318722159687e-10,1.7690452259659025e-09,2.747440419578453e-09,0.19853972106415493,4.743253370106265e-08,8.088747214298785,8.390709152639086,8.390709071927205,8.430098190519947,9.137791672616665,9.137791361731189,5.058982835866104e-06,4.743253370106265e-08,7.572365803874821e-08,3.7486006104217826e-05,0.015639249999367166,0.015529959000559757,0.01528991700251936,0.015050999998493353,0.4579304580001917,-206.08794474748507,-206.23892571665522,-206.2389256762993,0.15098092881422076,-4.035592837681179e-08
categorical,133,250,lbfgsb+gn,241.33457534701282,2.41675770834568e-07,0.3672404579992872,1,241.33457534701282,1.2808248330002243,5.383419962798086e-07,1,0.0,[0.35 3.  ],[0.481081 2.140107],2.842170943040401e-14,2.842170943040401e-14,17.571351055234754,1.2996073090950643e-07,1.2987123523540337e-09,1.8636245706700267e-10,3.854394759265059e-10,1.5244678071383998e-08,0.08235954046653791,3.1852867335239284e-08,7.396931534042058,7.569335171664677,7.569335082991271,8.431571300393234,9.19480717410961,9.194806640642346,7.135639533798617e-07,3.1852867335239284e-08,4.501330808588693e-06,0.0004332021983571412,0.0154718750018219,0.015667958003177773,0.015377834002720192,0.015240750002703862,0.45369066600324004,-243.1951640476245,-243.28136586643583,-243.2813658220991,0.08620177447460264,-4.4336729843053035e-08
categorical,134,250,lbfgsb+gn,213.4987670745511,1.8426158826916506e-06,0.3466315420009778,0,213.49876707455107,1.229850333002105,1.5118595836158677e-08,1,2.842170943040401e-14,[0.35 3.  ],[0.409982 2.754148],2.842170943040401e-14,2.842170943040401e-14,16.276623238368984,5.000914483926245e-07,4.994820952364825e-09,1.0795658645242822e-10,7.598020083055264e-10,1.240002942678458e-08,0.09938984137066542,3.9380596551649573e-08,7.808895209497663,7.7997748275144465,7.799774730404992,9.943537237114386,10.83125967274572,10.831259044895967,1.5908302211106891e-06,3.9380596551649573e-08,1.8616922579045383e-06,0.00010238028801908037,0.015615500000421889,0.01550070800294634,0.015490834000956966,0.015162124997004867,0.46141625000018394,-215.5653376128906,-215.560777421899,-215.56077737334425,-0.004560239546350431,-4.8554738896200433e-08
categorical,135,250,lbfgsb+gn,214.29176936431375,4.344381455637426e-08,0.4038735829999496,1,214.29176936431378,1.2042654999968363,1.5109037913705053e-08,1,-2.842170943040401e-14,[0.35 3.  ],[0.34874  2.769214],2.842170943040401e-14,0.0,15.51813085792797,1.297534766416982e-06,1.2981185248582445e-08,2.2197638193060504e-10,1.2170685001256392e-09,1.4626813231572262e-10,0.035718403483456944,3.919998473144275e-08,8.021604049063331,7.981699064970147,7.98169891486739,9.856643741125808,9.809264868281483,9.809263768335827,2.3924138934080772e-06,3.919998473144275e-08,2.7542101511534734e-06,0.00020387712760513294,0.014998582999396604,0.015394917001685826,0.015183499999693595,0.01499600000170176,0.4498615410011553,-216.4646943224361,-216.4447418303895,-216.4447417553381,-0.019952567097988094,-7.505138910346432e-08
categorical,136,250,lbfgsb+gn,209.9191203274431,2.389647970438283e-06,0.487123208000412,0,209.91912032744312,1.2695544169982895,4.89177240712667e-09,1,-2.842170943040401e-14,[0.35 3.  ],[0.351445 2.905052],2.842170943040401e-14,0.0,14.158594544356363,2.143570951001989e-06,2.145310051471789e-08,8.124816670794518e-11,1.5964473692970667e-09,1.0868852058403306e-08,0.11720692570917796,9.17040008688435e-09,7.955274806844377,7.831437432475518,7.8314372526289695,8.61225108822599,8.498542111415249,8.49854064630061,1.2080618189070176e-06,9.17040008688435e-09,2.6291226819407757e-06,0.0003214964370053542,0.015881707997323247,0.015671500001189997,0.015955667000525864,0.01544691600065562,0.45179854199886904,-212.05888066445596,-211.99696197727152,-211.99696188734825,-0.061918777107706546,-8.992327593659866e-08
categorical,137,250,lbfgsb+gn,221.44401168422894,2.176569549071508e-06,0.3892798339984438,0,221.44401168422894,1.227345207997132,0.0,1,0.0,[0.35 3.  ],[0.436904 2.697134],0.0,0.0,15.186071471484686,4.098218411449137e-07,4.098380848040181e-09,4.009342975795849e-11,8.785048061263127e-10,1.4969657397083988e-08,0.06072560397826104,1.6088547939367123e-08,7.853875489232873,7.753199458370515,7.753199334777679,8.923612904150236,8.5586492788899,8.558648345729607,7.979562667720247e-07,1.6088547939367123e-08,1.9217208313668343e-06,0.00013017471371966937,0.01567845800309442,0.015527792002103524,0.015532624998741085,0.015465125001355773,0.4603177079989109,-223.53307236243603,-223.48273434700485,-223.48273428520844,-0.0503380772275932,-6.179641331982566e-08
categorical,138,250,lbfgsb+gn,206.49891867679852,3.440710127991884e-06,0.351523665998684,0,206.4989186767985,1.244471624999278,2.766064031748887e-07,1,2.842170943040401e-14,[0.35 3.  ],[0.35438  3.037268],2.842170943040401e-14,2.842170943040401e-14,13.863675670366979,3.1093250793717153e-07,3.114234854516009e-09,6.880222440713633e-11,1.1787533963330967e-09,5.913319220561793e-09,0.21075571077442584,5.239656568997311e-08,8.01079879135104,7.681550271229932,7.68155016245605,10.535402223333222,9.155126059378127,9.155125538229699,1.659527503336764e-06,5.239656568997311e-08,1.7095077117763212e-06,0.0003039149822923587,0.015922457998385653,0.015602542000124231,0.015672959001676645,0.015569167000649031,0.44835512500139885,-208.6664410060647,-208.50181674600415,-208.50181669161722,-0.1646243144474795,-5.4386930514738197e-08
categorical,139,250,lbfgsb+gn,207.41167791802994,2.9242476922282594e-06,0.36181091600155924,0,207.4116779180299,1.2532467919991177,1.1433688453374924e-07,0,2.842170943040401e-14,[0.35 3.  ],[0.42399  3.025255],0.0,2.842170943040401e-14,13.998857720762013,5.428366894056076e-07,5.431598940794648e-09,9.366036075301616e-11,1.2610162633346934e-09,7.151635644663459e-09,0.012996568753628571,2.194279703116833e-08,7.985501058088328,7.906195630938516,7.906195581122475,9.974398501750382,9.327370436790718,9.327370175072623,1.0119612553402563e-06,2.194279703116833e-08,3.0409016245273183e-07,0.00017867755853141147,0.01582100000086939,0.015012416999525158,0.01577487499889685,0.015164292002737056,0.46515066599749844,-209.56655138066478,-209.52689866708985,-209.52689864218183,-0.039652738482942596,-2.490801875865145e-08
categorical,140,250,lbfgsb+gn,226.7404854520816,2.852632479125696e-07,0.3115178750013001,1,226.74048545208163,1.2723946670012083,9.58441729862141e-07,0,-2.842170943040401e-14,[0.35 3.  ],[0.392492 2.328858],5.684341886080802e-14,0.0,21.26171914334927,4.155200761126786e-08,4.162045368393308e-10,1.0873199275764256e-10,1.2482070018879972e-09,8.998771431705105e-09,0.23660297817049653,5.5117246530093166e-08,7.692348185686939,7.441539659933083,7.4415395322181634,10.478180345340677,10.047185626984652,10.047184879312006,1.5208698528116708e-06,5.5117246530093166e-08,5.906217193624883e-06,0.000467113403697114,0.01596616700044251,0.016171832998225,0.015771000002132496,0.015968457999406382,0.46941024999978254,-228.74878247851575,-228.6233782156388,-228.62337815178134,-0.1254043267344116,-6.385747042259027e-08
