model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
binary,alpha,beta,0.5,8.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.3392934256266123e-05,1.0185297299369024e-08,0.8628792907021013,0.862915689773327,0.8629156788986102,2.000010951351313,1.9999956207688179,1.999995621898089,2.5063605715303083e-05,1.148029493691638e-08
binary,alpha,beta,0.75,0.25,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,3.0282543872233842e-05,1.5382365806479073e-07,6.09786504554922,6.098156293420541,6.098156228248804,0.5201714966328681,0.520148794365735,0.5201487894366641,2.013454796667702e-05,1.180003437184496e-07
binary,alpha,beta,0.75,0.5,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,4.3236903889088974e-05,1.1180701175249734e-07,6.435335224546437,6.435697245205427,6.43569726354191,0.6428218148498992,0.6428085768196902,0.6428085263668166,4.06656655087545e-05,6.019516263222613e-08
binary,alpha,beta,0.75,1.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.811067967127905e-05,7.812992363956611e-08,8.82096806576966,8.820791075701356,8.820790739179666,0.4026203403052473,0.40262780342484017,0.402627836455807,1.5466884619286247e-05,1.5058475355544942e-08
binary,alpha,beta,0.75,3.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,5.625828988121173e-06,2.5815543119722913e-08,4.171264720156837,4.171313597673585,4.1713135045077046,1.2045219541541012,1.204525915121708,1.2045259089180176,2.925609835102705e-05,1.93253590907716e-08
binary,alpha,beta,0.75,8.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,2.0818770307942896e-05,1.560919829505262e-08,0.9192918139683508,0.9192486803425365,0.9192486536875709,1.7126048622720482,1.7126262123967058,1.7126262186774355,3.728788449741671e-05,2.2473945815448815e-08
binary,alpha,beta,0.95,0.25,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.5995626042360095e-05,1.5830376265409072e-07,11.470710117185556,11.470634035266716,11.470631253873623,0.21589715572989732,0.2158989202628851,0.21589899865139395,5.446014966992152e-06,1.7484627079511486e-07
binary,alpha,beta,0.95,0.5,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.5827668051740157e-05,1.1079400973317236e-07,10.998860925485431,10.998971877476416,10.998969509553106,0.2896717159189278,0.2896715502866012,0.2896716284539595,1.1554342052022548e-05,1.2681237393508127e-07
binary,alpha,beta,0.95,1.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,2.23324262831548e-05,1.0111779316007849e-07,9.706873355953451,9.70705663176525,9.707055496360844,0.39756748582134915,0.39755276102128284,0.3975527711717869,2.579248690182112e-06,1.0731058708302044e-07
binary,alpha,beta,0.95,3.0,100,0.1,1.0,2,1.0,1.0,1.0,0.0,0.0,0.0,1.8231552821439337e-05,3.3241392191710766e-08,3.1753999262720862,3.1754660583949708,3.1754660795954583,1.304659053179063,1.3046495861177374,1.3046495820827388,2.4076773236458848e-05,4.0552389890535785e-08
